timestamp,eventType,placeId,personId
1465413032,VIEW,256,1769
1465412560,VIEW,1920,872
1465416190,VIEW,422,1372
1465413895,FOLLOW,2799,1037
1465412290,VIEW,951,148
1465413742,VIEW,565,75
1465415950,VIEW,3443,1636
1465415066,VIEW,812,2242
1465413762,VIEW,2494,1091
1465413771,VIEW,1509,2358
1465413864,VIEW,822,1093
1465415229,VIEW,1983,911
1465415228,VIEW,2636,209
1465415691,VIEW,564,1349
1465413171,VIEW,3214,761
1465415259,VIEW,3002,2084
1465415623,VIEW,4158,932
1465412288,VIEW,605,1077
1465415693,VIEW,1030,2119
1465415691,VIEW,1669,802
1465416196,VIEW,2679,1504
1465415431,VIEW,4141,2466
1465415060,VIEW,2758,1655
1465413743,VIEW,2164,1290
1465415565,VIEW,2492,2405
1465413879,BOOKMARK,2068,1507
1465415695,VIEW,417,123
1465413954,BOOKMARK,2752,2440
1465413735,VIEW,3239,1364
1465414324,VIEW,2684,276
1465413771,VIEW,3975,601
1465413781,VIEW,3622,228
1465413864,VIEW,104,1231
1465415756,LIKE,2319,1795
1465413046,VIEW,1517,1168
1465415686,VIEW,3842,1469
1465413867,LIKE,514,2251
1465413873,BOOKMARK,3026,636
1465415690,VIEW,3655,2103
1465415949,VIEW,312,2154
1465413845,LIKE,474,2426
1465413689,VIEW,296,142
1465413735,VIEW,1898,2180
1465413946,LIKE,193,955
1465414478,VIEW,3603,157
1465413752,VIEW,61,673
1465414324,VIEW,30,1794
1465415574,VIEW,1034,1471
1465414493,VIEW,370,395
1465413751,VIEW,4129,1826
1465413689,VIEW,3289,1896
1465413781,VIEW,1182,813
1465413762,VIEW,1825,2059
1465412561,VIEW,3502,818
1465413171,VIEW,557,2069
1465415430,VIEW,2949,1666
1465413763,LIKE,3508,2140
1466034854,VIEW,4038,1329
1466034403,VIEW,505,2238
1466033932,VIEW,4419,2308
1466034236,VIEW,2012,2361
1466034456,COMMENT CREATED,3866,432
1466034895,COMMENT CREATED,2073,409
1466033622,VIEW,232,2360
1466034855,VIEW,4236,1732
1466033617,VIEW,2483,224
1466034780,VIEW,1546,1875
1466034780,VIEW,4385,2176
1466034466,VIEW,1558,287
1466034457,FOLLOW,140,1814
1466033937,VIEW,2968,1275
1466034818,COMMENT CREATED,1444,1937
1466034237,VIEW,1758,1610
1460566380,LIKE,3603,686
1460566003,VIEW,4139,1478
1460566746,VIEW,861,56
1460566250,VIEW,2803,1206
1460566179,VIEW,2924,53
1460566517,FOLLOW,2754,528
1460566919,VIEW,1615,1049
1460568722,VIEW,3007,2355
1460566378,VIEW,2932,786
1460566382,VIEW,1540,683
1460566210,VIEW,58,724
1460567442,VIEW,2014,1885
1460566763,VIEW,3415,337
1460566388,VIEW,4128,509
1460569552,VIEW,4173,2236
1460566765,VIEW,865,158
1460566421,VIEW,291,1300
1460567374,VIEW,1493,74
1460570095,VIEW,3793,246
1460566310,VIEW,3915,1559
1460566083,VIEW,682,1401
1460565500,VIEW,86,1591
1460566206,VIEW,310,2332
1460566393,LIKE,3383,389
1460570179,VIEW,2824,2320
1460568694,VIEW,4066,2009
1460568778,VIEW,1416,2205
1460567399,VIEW,2092,756
1460566878,VIEW,1513,2132
1460566292,VIEW,1161,2078
1460566207,VIEW,3240,2494
1460566206,VIEW,1664,608
1460566206,VIEW,700,283
1460566293,VIEW,1821,1187
1460567399,BOOKMARK,1352,694
1460570192,VIEW,1926,2304
1460567332,VIEW,3145,1068
1460566204,VIEW,4179,1871
1460566250,VIEW,3713,1872
1460567358,VIEW,1731,653
1460566338,VIEW,3424,930
1460567854,VIEW,3452,628
1460566206,VIEW,2477,520
1460568041,VIEW,2607,1752
1460567257,VIEW,3228,596
1460567364,VIEW,3569,1815
1460570194,VIEW,3922,1999
1460566506,VIEW,825,1716
1460569153,VIEW,1985,1237
1460569522,COMMENT CREATED,2977,1482
1460567995,VIEW,2205,601
1460568099,COMMENT CREATED,3813,1507
1463321913,VIEW,4261,1790
1463321788,VIEW,3169,1378
1463320644,VIEW,2584,727
1463322076,COMMENT CREATED,2426,871
1463321888,VIEW,2393,243
1463321913,VIEW,281,1894
1463322037,LIKE,307,574
1461604372,VIEW,3966,2132
1461603526,VIEW,1900,1676
1461602131,VIEW,3669,1471
1461601860,VIEW,59,1776
1461602493,VIEW,1811,2104
1461601312,VIEW,459,1659
1461604263,VIEW,3387,1635
1461601382,VIEW,3022,1197
1461603158,VIEW,2069,2105
1461601885,VIEW,881,178
1461601421,VIEW,4008,1344
1461603707,VIEW,1938,1582
1461601916,VIEW,2674,1691
1461603338,VIEW,4436,2154
1461601991,VIEW,3373,489
1461603354,LIKE,3026,1494
1461600981,VIEW,2448,1095
1461603162,VIEW,1718,849
1461603161,LIKE,3460,1550
1461603915,VIEW,1067,1817
1461602254,LIKE,407,647
1465846035,VIEW,1505,774
1465846643,VIEW,4327,1642
1465843831,VIEW,28,1866
1465846347,VIEW,3718,1723
1465847832,VIEW,3634,822
1465846653,VIEW,837,2063
1465847801,VIEW,1104,1953
1465844843,VIEW,2495,1691
1465847669,VIEW,3532,2492
1465846034,VIEW,1860,622
1465844042,VIEW,974,486
1465844365,VIEW,1984,417
1465846859,VIEW,318,1916
1465843830,VIEW,4092,821
1465846678,LIKE,2318,1863
1465843988,VIEW,3394,2307
1465847839,VIEW,951,1243
1465844511,VIEW,4000,1087
1465846643,VIEW,606,1501
1465846302,VIEW,4424,851
1465847669,VIEW,2514,1829
1465847698,VIEW,2697,393
1465847653,VIEW,3410,530
1465845504,LIKE,4275,2369
1465846851,VIEW,4287,1536
1465846305,BOOKMARK,3961,380
1465846306,LIKE,1058,1019
1465847809,VIEW,1218,1375
1465846228,VIEW,3199,892
1465847998,VIEW,2096,2199
1465845494,LIKE,3986,994
1465845357,VIEW,399,2008
1465844512,VIEW,3572,659
1465846297,VIEW,1449,2082
1465847809,VIEW,1686,260
1465845936,VIEW,3517,1146
1465844832,VIEW,2217,1229
1465847840,VIEW,2353,2173
1465846336,VIEW,4158,456
1465846351,VIEW,3547,1188
1465845618,VIEW,3302,1693
1465846316,VIEW,3983,1416
1465843990,VIEW,3799,473
1465847008,VIEW,1150,820
1465847809,VIEW,2620,914
1465845954,VIEW,2241,128
1465846049,LIKE,3998,1308
1465847698,VIEW,2862,1167
1465844632,LIKE,1900,2000
1465846224,VIEW,2546,2007
1465847910,VIEW,3122,818
1465846674,BOOKMARK,1030,1602
1465844042,VIEW,2480,2115
1465845514,VIEW,4144,58
1465846260,VIEW,1766,994
1465847653,VIEW,2611,266
1465844364,VIEW,2842,2194
1464189861,VIEW,4303,527
1464190235,VIEW,3457,1906
1464188802,VIEW,1945,1777
1464191333,VIEW,60,1768
1464190007,VIEW,3904,1070
1464190338,VIEW,2252,682
1464191500,VIEW,732,1550
1464188686,VIEW,3209,277
1464191455,VIEW,366,2328
1464191523,VIEW,350,1187
1464191551,LIKE,2604,1162
1464192529,VIEW,4264,2454
1464191485,VIEW,2466,9
1464192405,LIKE,2639,1404
1464192719,VIEW,2775,682
1464192404,VIEW,4307,2167
1464192302,VIEW,3948,354
1464191311,VIEW,4049,1168
1464188492,VIEW,319,41
